index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,Mastery
0,Class1,1704209872.0,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_Cj9Ya2R7fZd6xs1q5mNQ,320,3,8b6d1125760bd3939b6e,1.0
1,Class1,1704209852.0,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_gj1NLb4Jn7URf9K2kQPd,356,3,8b6d1125760bd3939b6e,1.0
2,Class1,1704209838.0,Absolutely_Correct,3,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_5Q4KoXthUuYz3bvrTDFm,196,2,8b6d1125760bd3939b6e,1.0
3,Class1,1704208923.0,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,308,2,63eef37311aaac915a45,1.0
4,Class1,1704208359.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,320,3,5d89810b20079366fcc2,1.0
5,Class1,1704208330.0,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_gj1NLb4Jn7URf9K2kQPd,0,5,5d89810b20079366fcc2,0.1
6,Class1,1704208308.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,308,2,5d89810b20079366fcc2,1.0
7,Class1,1704208280.0,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,312,2,47eeab842793b09300c3,1.0
8,Class1,1704208272.0,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,312,3,47eeab842793b09300c3,1.0
9,Class1,1704208242.0,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_5Q4KoXthUuYz3bvrTDFm,328,2,5d89810b20079366fcc2,1.0
10,Class1,1704208221.0,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_m8vwGkEZc3TSW2xqYUoR,512,3,5d89810b20079366fcc2,1.0
11,Class1,1704208195.0,Absolutely_Correct,3,Question_UXqN1F7G3Sbldz02vZne,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,2,5d89810b20079366fcc2,1.0
12,Class1,1704208165.0,Absolutely_Correct,3,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_m8vwGkEZc3TSW2xqYUoR,312,2,5d89810b20079366fcc2,1.0
13,Class1,1704208138.0,Absolutely_Correct,1,Question_BW0ItEaymH3TkD6S15JF,Method_gj1NLb4Jn7URf9K2kQPd,308,3,5d89810b20079366fcc2,1.0
14,Class1,1704208118.0,Absolutely_Correct,3,Question_h7pXNg80nJbw1C4kAPRm,Method_5Q4KoXthUuYz3bvrTDFm,324,3,5d89810b20079366fcc2,1.0
15,Class1,1704208091.0,Absolutely_Correct,1,Question_rvB9mVE6Kbd8jAY4NwPx,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,3,5d89810b20079366fcc2,1.0
16,Class1,1704208066.0,Absolutely_Correct,1,Question_q7OpB2zCMmW9wS8uNt3H,Method_BXr9AIsPQhwNvyGdZL57,188,2,5d89810b20079366fcc2,1.0
17,Class1,1704207081.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,328,3,8b6d1125760bd3939b6e,1.0
18,Class1,1704207039.0,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,3,8b6d1125760bd3939b6e,0.1
19,Class1,1704207029.0,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,8b6d1125760bd3939b6e,0.1
20,Class1,1704206986.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,2,8b6d1125760bd3939b6e,1.0
21,Class1,1704206941.0,Absolutely_Error,0,Question_bumGRTJ0c8p4v5D6eHZa,Method_gj1NLb4Jn7URf9K2kQPd,316,2,8b6d1125760bd3939b6e,0.0
22,Class1,1704206906.0,Absolutely_Error,0,Question_bumGRTJ0c8p4v5D6eHZa,Method_m8vwGkEZc3TSW2xqYUoR,320,2,8b6d1125760bd3939b6e,0.0
